id_node	label	x	y
35434	NP_254239.1	-5321.127036372708	6021.352257737015
35432	NP_254238.1	-4975.127036372708	6148.352257737015
35429	NP_254236.1	-5070.127036372708	6037.352257737015
35425	NP_250874.1	558.8729636272919	-224.64774226298505
35424	NP_254212.1	180.87296362729194	-162.64774226298505
35421	NP_254199.1	1718.872963627292	3212.352257737015
35419	NP_254198.1	1560.872963627292	2927.352257737015
35414	NP_252291.1	-1849.127036372708	3294.352257737015
35412	NP_252290.1	-1568.127036372708	3629.352257737015
35411	NP_254186.1	-1491.127036372708	3452.352257737015
35405	NP_254158.1	-853.1270363727081	-1626.647742262985
35403	NP_254125.1	5204.04932969612	-4840.647742262985
35401	NP_252620.1	-1507.127036372708	-1303.647742262985
35396	NP_251041.1	-1496.127036372708	-1661.647742262985
35392	NP_254115.1	-1471.127036372708	-1128.647742262985
35389	NP_254074.1	5104.196419875471	-5908.33037017745
35387	NP_254073.1	4920.04932969612	-5802.0129980919155
35385	NP_254072.1	4920.04932969612	-6014.647742262985
35384	NP_254076.1	4981.431693089237	-5908.33037017745
35382	NP_254107.1	-21.004671333425904	1108.675510869194
35380	NP_254106.1	-118.69773686020199	1037.697344072778
35378	NP_254105.1	-156.01316742626022	922.852257737015
35376	NP_254104.1	-118.69773686020199	808.007171401252
35374	NP_254103.1	-21.004671333425904	737.0290046048358
35372	NP_254102.1	99.75059858800978	737.0290046048358
35369	NP_254097.1	197.44366411478586	808.007171401252
35367	NP_254086.1	234.7590946808441	922.852257737015
35365	NP_254085.1	197.44366411478586	1037.697344072778
35362	NP_254066.1	99.75059858800978	1108.675510869194
35348	NP_254048.1	-2264.127036372708	-2774.177195835453
35343	NP_252972.1	-2018.5975828002397	-2528.647742262985
35341	NP_252971.1	-2141.3623095864737	-2316.0129980919155
35338	NP_252662.1	-2325.509399765825	-2422.3303701774503
35335	NP_252660.1	-2325.509399765825	-2634.96511434852
35333	NP_252659.1	-2202.7446729795906	-2634.96511434852
35327	NP_252073.1	-2141.3623095864737	-2528.647742262985
35325	NP_252072.1	-2386.891763158942	-2316.0129980919155
35323	NP_252071.1	-2476.7617805437776	-2405.883015476751
35321	NP_252070.1	-2509.6564899451764	-2528.647742262985
35319	NP_252069.1	-2476.7617805437776	-2651.412469049219
35317	NP_252068.1	-2386.891763158942	-2741.2824864340546
35315	NP_252067.1	-2141.3623095864737	-2741.2824864340546
35313	NP_252066.1	-2051.4922922016385	-2651.412469049219
35311	NP_252065.1	-2051.4922922016385	-2405.883015476751
35309	NP_252064.1	-2264.127036372708	-2283.118288690517
35307	NP_252063.1	-2202.7446729795906	-2422.3303701774503
35305	NP_252062.1	-2386.891763158942	-2528.647742262985
35268	NP_254188.1	-1186.8938270519384	2730.857599368186
35266	NP_254187.1	-1114.422201066519	2829.9486765140537
35264	NP_254185.1	-1041.9505750811013	2929.039753659921
35257	NP_253884.1	-72.83354784165113	2521.193432709142
35254	NP_253362.1	-165.62506969615424	2447.194663316275
35247	NP_251168.1	-165.62506969615424	2328.5098521577547
35245	NP_251167.1	-72.83354784165113	2254.5110827648878
35243	NP_251166.1	42.87558730881847	2280.9209377903117
35240	NP_250715.1	94.37099695073812	2387.852257737015
35226	NP_248829.1	42.87558730881847	2494.7835776837182
35221	NP_254217.1	901.8729636272919	2547.352257737015
35215	NP_250513.1	537.4465087169674	2342.352257737015
35210	NP_249304.1	353.2994185376165	2448.669629822549
35208	NP_249303.1	353.2994185376165	2236.034885651481
35187	NP_252772.1	-1572.3532468211856	-2716.859324527407
35184	NP_252390.1	-1649.6721028465254	-2809.0043489708796
35180	NP_251519.1	-1649.6721028465254	-2929.2911355550905
35178	NP_251518.1	-1572.353246821186	-3021.436159998564
35173	NP_249765.1	-1453.8938868081304	-3042.3237412863227
35171	NP_249764.1	-1349.7224738866066	-2982.1803479942173
35169	NP_249763.1	-1308.5819698988907	-2869.147742262985
35167	NP_249762.1	-1349.7224738866066	-2756.115136531753
35165	NP_249761.1	-1453.8938868081304	-2695.9717432396474
35156	NP_253995.1	-1484.4294878470873	-2869.147742262985
35130	NP_254010.1	-4250.710513438803	-3323.8291504496583
35128	NP_254009.2	-2113.127036372708	-1132.647742262985
35113	NP_253246.1	-3976.200239105594	-3701.6601290254694
35111	NP_253245.1	-3990.690649485964	-3361.8303701774503
35109	NP_253244.1	-4113.455376272198	-3361.83037017745
35107	NP_253243.1	-4174.837739665316	-3468.1477422629846
35105	NP_253242.1	-4113.455376272199	-3574.46511434852
35103	NP_253241.1	-3990.690649485964	-3574.46511434852
35101	NP_253240.1	-3806.5435593066127	-3468.147742262985
35073	NP_250510.1	-3131.127036372708	-2707.647742262985
35071	NP_250509.1	-3929.308286092847	-3468.147742262985
35069	NP_250418.1	-3976.200239105594	-3234.6353555005007
35065	NP_249846.1	-4250.710513438803	-3612.4663340763113
35057	NP_253940.1	1409.146753178814	294.1406754725931
35049	NP_251274.1	-607.0534912830326	-2304.647742262985
35047	NP_250792.1	-791.2005814623835	-2198.3303701774503
35045	NP_250791.1	-791.2005814623835	-2410.96511434852
35031	NP_253866.1	-941.1270363727081	810.352257737015
35028	NP_253877.1	-1824.127036372708	1280.352257737015
35022	NP_251554.1	-1780.127036372708	2047.352257737015
