id_node	label	x	y
33414	NP_462584.1	-1304.170311967755	-562.4217680965739
33344	NP_461164.1	-1166.915174801151	-607.0186655711532
33307	NP_460482.1	-1082.08683490166	-490.2624721899101
33295	NP_460029.1	-1166.915174801151	-373.50627880866705
33293	NP_460028.1	-1304.170311967755	-418.1031762832463
33241	NP_461408.1	62.371426565292495	-81.26247218991011
33232	NP_461502.1	-412.6285734347075	-739.2624721899101
33204	NP_460686.1	-2441.6285734347075	2201.046432652931
33202	NP_460685.1	-2552.1556600089234	2155.2646143843067
33200	NP_460684.1	-2597.9374782775485	2044.73752781009
33198	NP_460683.1	-2552.1556600089234	1934.210441235873
33196	NP_460682.1	-2441.6285734347075	1888.4286229672489
33193	NP_460313.1	-2285.3196685918656	2044.73752781009
33187	NP_448140.1	-2331.1014868604916	2155.2646143843067
33185	NP_461576.1	1544.797881475617	-1878.5798442754449
33176	NP_459737.1	1728.944971654968	-1772.26247218991
33174	NP_459736.1	1544.797881475617	-1665.9451001043753
33172	NP_463436.5	1606.180244868734	-1772.26247218991
33154	NP_463370.1	-792.6285734347075	-18.262472189910113
33138	NP_463337.1	-952.6285734347075	-312.2624721899101
33134	NP_463320.1	-1095.6285734347075	-163.2624721899101
33120	NP_463323.1	-740.6285734347075	-369.2624721899101
33114	NP_463310.1-NP_463311.1	8301.371426565292	-8465.26247218991
33112	NP_463311.1	8352.371426565292	-8544.26247218991
33110	NP_463310.1	8395.371426565292	-8460.26247218991
33103	NP_463309.1	-708.6285734347075	2541.73752781009
33099	NP_463263.1	7144.3714265652925	-9092.26247218991
33091	NP_463243.1	951.8714265652925	-976.9977454036762
33089	NP_459862.1	829.1066997790585	-1099.76247218991
33087	NP_459861.1	951.8714265652925	-1222.527198976144
33085	NP_459860.1	1074.6361533515264	-1099.76247218991
33084	NP_463242.1	951.8714265652925	-1099.76247218991
33073	NP_462818.1	-2143.6580270071763	-4530.76247218991
33071	NP_462817.1	-2020.8933002209415	-4743.39721636098
33069	NP_462816.1	-1898.1285734347075	-4776.291925762379
33067	NP_462815.1	-1775.3638466484736	-4743.39721636098
33065	NP_462814.3	-1652.5991198622396	-4530.76247218991
33063	NP_462813.1	-1775.3638466484736	-4318.127728018841
33061	NP_462812.1	-1836.7462100415905	-4424.445100104375
33059	NP_462811.1	-1959.5109368278245	-4424.445100104375
33057	NP_462810.1	-1959.5109368278245	-4637.079844275445
33055	NP_462809.1	-1836.7462100415905	-4637.079844275445
33053	NP_462808.1	-1713.9814832553566	-4211.810355933306
33047	NP_462376.1	-2082.2756636140593	-4849.714588446514
33023	NP_461504.1	-1775.3638466484736	-4530.76247218991
33021	NP_461503.1	-2082.2756636140584	-4211.810355933306
33016	NP_461124.1	-2266.4227537934103	-4530.76247218991
33014	NP_461123.1	-1713.9814832553566	-4849.714588446514
33012	NP_461122.1	-1529.8343930760047	-4530.76247218991
33010	NP_461121.1	-2020.8933002209415	-4318.127728018841
